idstring,gender,age,year,dob
PH00-1-1-,m,21,2000,1979
PH00-1-2-,f,52,2000,1948
PH00-1-3-,m,18,2000,1982
PH00-1-4-,m,18,2000,1982
PH00-1-5-,m,70,2000,1930
PH00-2-1-,f,65,2000,1935
PH02-1-1-,f,93,2002,1909
PH02-1-2-,f,16,2002,1986
PH04-1-1-,m,21,2004,1983
PH04-1-2-,f,78,2004,1926
PH04-1-3-,m,83,2004,1921
PH04-1-4-,f,17,2004,1987
PH04-1-5-,m,65,2004,1939
PH04-2-1-,f,45,2004,1959
PH04-2-2-,f,17,2004,1987
PH04-2-3-,f,11,2004,1993
PH04-2-4-,f,25,2004,1979
PH04-2-5-,f,11,2004,1993
PH04-2-6-,f,11,2004,1993
PH04-2-7-,f,11,2004,1993
PH04-3-1-,f,91,2004,1913
PH04-3-2-,m,25,2004,1979
PH04-3-3-,f,18,2004,1986
PH06-1-1-,f,65,2006,1941
PH06-1-2-,m,65,2006,1941
PH06-1-3-,f,20,2006,1986
PH06-1-4-,f,35,2006,1971
PH06-1-6-,f,28,2006,1978
PH06-1-7-,f,63,2006,1943
PH06-1-8-,m,63,2006,1943
PH06-2-1-,f,61,2006,1945
PH06-2-2-,m,62,2006,1944
PH06-2-3-,f,41,2006,1965
PH06-2-4-,f,29,2006,1977
PH06-2-6-,f,22,2006,1984
PH06-2-7-,f,65,2006,1941
PH06-2-5-,f,60,2006,1946
PH08-2-1-,m,59,2008,1949
PH08-2-3-,f,52,2008,1956
PH08-2-4-,m,59,2008,1949
PH10-1-1-,f,42,2010,1968
PH10-1-2-,m,19,2010,1991
PH10-1-3-,f,65,2010,1945
PH10-1-4-,f,30,2010,1980
PH10-1-5-,m,20,2010,1990
PH10-1-7-,m,45,2010,1965
PH10-1-8-,m,54,2010,1956
PH10-1-9-,m,22,2010,1988
PH10-1-6-,f,22,2010,1988
PH10-2-1-,f,77,2010,1933
PH10-2-10-,m,25,2010,1985
PH10-2-11-,m,25,2010,1985
PH10-2-2-,f,88,2010,1922
PH10-2-3-,m,40,2010,1970
PH10-2-4-,m,67,2010,1943
PH10-2-5-,f,64,2010,1946
PH10-2-6-,f,32,2010,1978
PH10-2-7-,m,55,2010,1955
PH10-2-8-,m,46,2010,1964
PH10-2-9-,m,50,2010,1960
PH02-2-1-,f,14,2002,1988
PH02-2-10-,f,8,2002,1994
PH02-2-11-,f,14,2002,1988
PH02-2-12-,f,19,2002,1983
PH02-2-2-,f,17,2002,1985
PH02-2-3-,f,16,2002,1986
PH02-2-4-,f,63,2002,1939
PH02-2-5-,f,59,2002,1943
PH02-2-6-,f,66,2002,1936
PH02-2-7-,f,45,2002,1957
PH02-2-8-,m,46,2002,1956
PH02-2-9-,m,44,2002,1958
PH73-0-1-,m,14,1973,1959
PH73-0-2-,m,12,1973,1961
PH73-0-4-,m,25,1973,1948
PH73-0-5-,f,41,1973,1932
PH73-0-6-,f,31,1973,1942
PH73-0-7-,m,84,1973,1889
PH73-00-1-,f,16,1973,1957
PH73-5-1-,f,78,1973,1895
PH73-5-2-,f,23,1973,1950
PH73-5-4-,f,45,1973,1928
PH73-5-5-,f,72,1973,1901
PH73-5-6-,f,58,1973,1915
PH73-5-7-,m,65,1973,1908
PH73-5-8-,f,69,1973,1904
PH73-5-9-,f,65,1973,1908
PH73-5-3-,f,52,1973,1921
PH74-0-1-,f,42,1974,1932
PH74-0-10-,f,15,1974,1959
PH74-0-11-,f,15,1974,1959
PH74-0-12-,f,11,1974,1963
PH74-0-13-,f,11,1974,1963
PH74-0-2-,f,50,1974,1924
PH74-0-3-,m,52,1974,1922
PH74-0-4-,f,35,1974,1939
PH74-0-5-,m,41,1974,1933
PH74-0-6-,f,9,1974,1965
PH74-0-7-,f,8,1974,1966
PH74-0-8-,m,14,1974,1960
PH74-0-9-,m,14,1974,1960
PH74-00-2-,m,67,1974,1907
PH74-00-3-,m,51,1974,1923
PH74-00-4-,f,63,1974,1911
PH74-00-6-,m,46,1974,1928
PH74-1-1-,f,15,1974,1959
PH74-1-2-,m,54,1974,1920
PH74-1-3-,f,52,1974,1922
PH74-1-4-,m,30,1974,1944
PH74-2-1-,m,19,1974,1955
PH74-2-3-,m,30,1974,1944
PH74-2-4-,f,30,1974,1944
PH74-2-5-,m,20,1974,1954
PH74-2-6-,f,15,1974,1959
PH74-2-7-,f,21,1974,1953
PH74-2-8-,m,25,1974,1949
PH75-0-1-,m,14,1975,1961
PH75-0-2-,m,35,1975,1940
PH75-0-3-,f,68,1975,1907
PH76-3-1-,m,69,1976,1907
PH76-3-4-,f,17,1976,1959
PH76-3-2-,m,44,1976,1932
PH76-3-3-,f,40,1976,1936
PH76-4-1-,m,71,1976,1905
PH76-4-2-,f,68,1976,1908
PH76-4-3-,f,25,1976,1951
PH76-4-4-,f,24,1976,1952
PH76-4-5-,f,65,1976,1911
PH76-4-6-,f,45,1976,1931
PH76-4-7-,f,12,1976,1964
PH76-4-8-,f,8,1976,1968
PH77-3-1-,m,54,1977,1923
PH77-3-2-,f,18,1977,1959
PH77-3-3-,f,70,1977,1907
PH77-3-4-,m,73,1977,1904
PH77-3-5-,m,45,1977,1932
PH77-3-6-,m,24,1977,1953
PH77-4-2-,f,12,1977,1965
PH77-4-6-,m,51,1977,1926
PH77-4-5-,f,39,1977,1938
PH77-4-7-,f,63,1977,1914
PH77-4-8-,m,65,1977,1912
PH77-4-9-,f,66,1977,1911
PH77-4-1-,m,20,1977,1957
PH77-4-4-,m,21,1977,1956
PH77-5-1-,f,49,1977,1928
PH77-5-2-,f,34,1977,1943
PH77-5-3-,m,40,1977,1937
PH77-5-4-,f,25,1977,1952
